       0.345     -0.145      3.326     -0.335     -0.140      5.389
       0.134     -0.338      6.388     -0.176      0.168      2.366
       0.498      0.085      4.031     -0.072     -0.011      4.628
       0.047     -0.158      1.975     -0.942     -0.006      6.248
      -0.424     -0.171      7.534      0.168      0.114      1.186
      -0.251      0.000      1.711      0.286      0.058      7.055
      -0.378     -0.067      2.954      0.273     -0.111      5.785
      -0.350     -0.149      3.935      0.159      0.463      4.739
       0.644      0.070      5.483     -0.092      0.327      2.986
       0.231      0.053      1.346     -0.121     -0.226      7.397
      -0.184      0.201      1.695      0.178     -0.511      7.000
       0.335      0.329      4.341     -0.290      0.024      4.347
       0.224     -0.061      1.730     -0.446      0.508      6.870
      -0.171     -0.250      4.280      0.256      0.418      4.457
      -0.210     -0.034      6.127      0.347      0.161      2.616
       0.011     -0.252      4.297     -0.417      0.186      4.373
       0.286      0.146      4.651     -0.221      0.182      4.062
      -0.422     -0.322      7.757      0.199      0.043      0.917
      -0.437      0.112      4.842      0.305     -0.211      3.898
       0.092     -0.364      5.291     -0.288      0.308      3.441
      -0.119      0.403      5.939     -0.343     -0.109      2.647
      -0.159      0.454      4.626      0.419      0.155      3.867
      -0.052     -0.283      3.879     -0.522      0.135      4.675
       0.194     -0.130      2.942     -0.565      0.240      5.725
      -0.591     -0.005      3.486      0.080     -0.465      4.952
      -0.197      0.291      6.312      0.359     -0.119      2.411
      -0.305      0.741      6.623      0.254     -0.092      1.852
       0.322      0.016      6.827     -0.279     -0.086      1.932
       0.379     -0.223      4.194     -0.236     -0.705      3.977
      -0.337     -0.008      5.190      0.386      0.123      3.562
       0.415      0.134      6.204     -0.392      0.068      2.519
      -0.080     -0.112      0.653      0.411      0.112      8.043
      -0.426     -0.225      5.641      0.195     -0.082      3.044
      -0.339      0.130      3.119      0.286      0.031      5.631
       0.257      0.371      3.788     -0.424      0.014      4.861
       0.454      0.273      6.593     -0.091     -0.144      2.089
      -0.279     -0.038      4.997      0.328     -0.306      3.695
      -0.499      0.186      7.398      0.105      0.098      1.233
       0.340     -0.624      4.633     -0.119      0.058      3.892
      -0.174     -0.015      2.098      0.410      0.722      6.311
       0.272      0.108      4.257     -0.524     -0.125      4.458
       0.392     -0.058      3.152     -0.203      0.323      5.544
      -0.260      0.135      3.772      0.443     -0.180      4.969
       0.172      0.124      3.569     -0.350     -0.398      5.132
      -0.175     -0.199      5.097      0.458     -0.050      3.581
       0.279      0.015      3.177     -0.482     -0.002      5.561
      -0.116      0.264      6.977      0.313     -0.245      1.741
      -0.340      0.310      4.851      0.394      0.021      3.837
       0.402      0.028      3.585     -0.386      0.172      5.146
      -0.116     -0.046      0.997      0.642      0.278      7.563
       0.210     -0.214      4.405     -0.444     -0.078      4.277
       0.315     -0.004      3.238     -0.353     -0.060      5.527
      -0.071     -0.199      5.957      0.352     -0.058      2.730
      -0.464     -0.161      5.574      0.251      0.005      3.150
      -0.366      0.060      3.533      0.353     -0.099      5.229
      -0.219     -0.099      6.568      0.248      0.063      2.206
      -0.225      0.047      4.553      0.381      0.467      4.026
      -0.496      0.199      3.715      0.209      0.237      4.875
       0.349     -0.201      3.469     -0.292      0.430      5.244
       0.348     -0.026      4.229     -0.558      0.210      4.466
       0.057      0.330      5.829     -0.184     -0.093      2.909
      -0.320     -0.358      2.790      0.429     -0.193      5.760
       0.531      0.119      4.110     -0.089      0.361      4.389
      -0.128     -0.377      3.689      0.311      0.079      5.006
      -0.325     -0.166      6.498      0.149      0.418      2.185
       0.362      0.201      3.630     -0.146     -0.174      5.110
      -0.086     -0.175      4.414      0.368      0.339      4.287
       0.360     -0.381      6.666     -0.302     -0.187      1.885
      -0.287      0.010      6.454     -0.423      0.150      1.975
       0.034     -0.133      2.413     -0.639      0.122      6.135
      -0.225     -0.138      2.638      0.514     -0.116      6.036
      -0.087      0.219      7.145      0.134     -0.254      1.616
       0.301     -0.292      4.061     -0.346      0.163      4.686
      -0.244     -0.024      1.617      0.200      0.056      7.152
      -0.770     -0.331      5.690      0.020      0.068      2.674
       0.732     -0.023      4.783     -0.058      0.088      3.689
       0.344     -0.093      4.461     -0.316      0.159      4.302
       0.289      0.188      2.600     -0.241      0.085      6.123
       0.158     -0.103      2.012     -0.484      0.417      6.626
       0.717     -0.044      6.328     -0.038      0.207      2.135
      -0.184     -0.418      5.900      0.194      0.191      2.835
